session_type,frame,risk,UC1_sim,UC2_instab,UC3_presence,UC4_drift
Presence Absence,38,0.0029,0.7249,0.0652,0.8195,0.0902
Presence Absence,39,0.0028,0.7151,0.0435,0.8025,0.0871
Presence Absence,40,0.0033,0.9399,0.0183,0.2086,0.108
Presence Absence,41,0.0044,0.4475,0.0,0.1694,0.1049
Presence Absence,42,0.0052,1.0,0.0,0.1412,0.0964
Presence Absence,43,0.0058,0.9963,0.0,0.1354,0.0867
Presence Absence,44,0.0073,0.6337,0.0075,0.099,0.0913
Presence Absence,45,0.0087,0.6418,0.0,0.1613,0.0693
Presence Absence,46,0.0092,0.9154,0.0175,0.2368,0.0588
Presence Absence,47,0.0101,0.8947,0.0496,0.1986,0.0594
Presence Absence,48,0.0117,0.6929,0.034,0.1231,0.0491
Presence Absence,49,0.0126,1.0,0.0534,0.181,0.0497
Presence Absence,50,0.0156,0.4045,0.1267,0.2276,0.0399
Presence Absence,51,0.0189,0.8918,0.1394,0.2551,0.0866
Presence Absence,52,0.0227,0.8219,0.1139,0.2925,0.1121
Presence Absence,53,0.0278,0.8827,0.1139,0.2391,0.1153
Presence Absence,54,0.0324,1.0,0.0817,0.2231,0.1074
Presence Absence,55,0.0444,0.6751,0.0992,0.1583,0.1479
Presence Absence,56,0.0616,1.0,0.1363,0.1018,0.143
Presence Absence,57,0.081,0.955,0.1045,0.1549,0.1303
Presence Absence,58,0.1115,0.7825,0.1004,0.1303,0.1276
Presence Absence,59,0.1597,0.5962,0.1468,0.2339,0.1254
Presence Absence,60,0.2339,0.581,0.1255,0.2289,0.1468
Presence Absence,61,0.32,0.9232,0.1333,0.1946,0.1349
Presence Absence,62,0.4427,0.5576,0.0942,0.226,0.1694
Presence Absence,63,0.5518,0.8056,0.0687,0.295,0.1359
Presence Absence,64,0.6471,1.0,0.0586,0.2983,0.1406
Presence Absence,65,0.737,1.0,0.1496,0.2292,0.1089
Presence Absence,66,0.8121,1.0,0.1316,0.2375,0.1414
Presence Absence,67,0.8712,0.7623,0.1118,0.2868,0.1237
Presence Absence,68,0.9141,0.6065,0.0937,0.25,0.1144
Presence Absence,69,0.9387,1.0,0.0931,0.2069,0.1272
Presence Absence,70,0.9563,0.9393,0.1228,0.2457,0.1451
Presence Absence,71,0.9668,1.0,0.1309,0.2418,0.1104
Presence Absence,72,0.9749,0.8623,0.2066,0.186,0.0971
Presence Absence,73,0.9795,1.0,0.203,0.1691,0.0636
Presence Absence,74,0.9831,0.9916,0.2454,0.1389,0.0675
Presence Absence,75,0.9857,0.9911,0.2383,0.1576,0.0657
Presence Absence,76,0.9877,1.0,0.2444,0.1655,0.059
Presence Absence,77,0.989,0.9298,0.174,0.2162,0.0462
Presence Absence,78,0.9901,0.9241,0.1627,0.2407,0.0417
Presence Absence,79,0.9908,0.9254,0.1553,0.1657,0.0302
Presence Absence,80,0.9919,0.8507,0.1425,0.885,0.0473
Presence Absence,81,0.9926,0.8994,0.0613,0.922,0.0826
Presence Absence,82,0.9931,0.8304,0.104,0.9349,0.0401
Presence Absence,83,0.9935,0.8298,0.0937,0.9701,0.0421
Presence Absence,84,0.9936,0.8857,0.083,0.9334,0.0375
Presence Absence,85,0.9937,0.8613,0.0806,0.8853,0.0527
Presence Absence,86,0.9937,0.831,0.0796,0.9237,0.0353
Presence Absence,87,0.9937,0.8283,0.1022,0.8723,0.0374
Presence Absence,88,0.9936,0.8018,0.0595,0.7824,0.0204
Presence Absence,89,0.9935,0.8655,0.0357,0.8403,0.0425
Presence Absence,90,0.9934,0.8134,0.0606,0.8157,0.0487
Presence Absence,91,0.9933,0.8462,0.0764,0.8125,0.0485
Presence Absence,92,0.9933,0.7821,0.0705,0.7637,0.0595
Presence Absence,93,0.9932,0.8107,0.0583,0.7253,0.0559
Presence Absence,94,0.9929,0.8016,0.0383,0.6997,0.0253
Presence Absence,95,0.9928,0.6864,0.0499,0.7116,0.0445
Presence Absence,96,0.9929,0.7002,0.1054,0.7524,0.0544
Presence Absence,97,0.9928,0.666,0.0701,0.6747,0.0535
Presence Absence,98,0.993,0.6638,0.1353,0.7372,0.0767
Presence Absence,99,0.9932,0.7479,0.1656,0.7088,0.1014
Presence Absence,100,0.9933,0.7043,0.1436,0.6896,0.0737
Presence Absence,101,0.9935,0.6697,0.1704,0.7467,0.0567
Presence Absence,102,0.9935,0.7487,0.1103,0.7635,0.0913
Presence Absence,103,0.9935,0.7584,0.0494,0.7163,0.118
Presence Absence,104,0.9934,0.8284,0.0139,0.8186,0.0952
Presence Absence,105,0.9932,0.8352,0.0162,0.7915,0.0666
Presence Absence,106,0.993,0.7887,0.0213,0.8152,0.0536
Presence Absence,107,0.9927,0.7845,0.0186,0.8333,0.0456
Presence Absence,108,0.9924,0.8371,0.039,0.8998,0.0159
Presence Absence,109,0.9919,0.8693,0.0,0.8776,0.0247
Presence Absence,110,0.9914,0.8559,0.0156,0.9205,0.0045
Presence Absence,111,0.9908,0.8467,0.0,0.8831,0.0
Presence Absence,112,0.9902,0.8318,0.0,0.93,0.0203
Presence Absence,113,0.9895,0.799,0.0,0.8903,0.0133
Presence Absence,114,0.9887,0.8798,0.0,0.8735,0.0203
Presence Absence,115,0.988,0.8651,0.0,0.9544,0.041
Presence Absence,116,0.9875,0.8034,0.0,0.9566,0.0625
Presence Absence,117,0.9868,0.7792,0.0,0.9497,0.0565
Presence Absence,118,0.9861,0.8108,0.0074,1.0,0.0595
Presence Absence,119,0.9854,0.834,0.0466,1.0,0.0437
Flickering,0,0.4993,0.6586,0.621,0.842,0.0908
Flickering,1,0.5195,0.5557,0.4241,0.9072,0.0251
Flickering,2,0.5287,0.5732,0.3702,0.9653,0.0
Flickering,3,0.5483,0.6554,0.4364,0.8232,0.0215
Flickering,4,0.5587,0.7031,0.3327,0.8044,0.0614
Flickering,5,0.5549,0.8715,0.2467,0.6524,0.062
Flickering,6,0.5355,0.9714,0.3307,0.8517,0.0135
Flickering,7,0.5035,0.8751,0.2104,0.7779,0.0
Flickering,8,0.4785,0.8359,0.2967,0.7117,0.0
Flickering,9,0.4703,0.5879,0.3541,0.7086,0.0
Flickering,10,0.4736,0.7102,0.3256,0.323,0.0018
Flickering,11,0.4461,0.7185,0.2518,0.7724,0.0
Flickering,12,0.4653,0.9676,0.2661,0.616,0.2436
Flickering,13,0.5079,0.9322,0.2547,0.5819,0.2758
Flickering,14,0.5747,0.6944,0.3081,0.5517,0.2257
Flickering,15,0.62,0.895,0.3145,0.732,0.1684
Flickering,16,0.6592,0.6441,0.372,0.6406,0.0
Flickering,17,0.6919,0.5289,0.3066,0.5755,0.0
Flickering,18,0.7231,0.4678,0.3094,0.5393,0.0
Flickering,19,0.7427,0.4635,0.1788,0.7696,0.0684
Flickering,20,0.7675,0.5269,0.2398,0.8471,0.1128
Flickering,21,0.7949,0.5327,0.2466,0.8603,0.1494
Flickering,22,0.8212,0.4689,0.2105,0.7886,0.1607
Flickering,23,0.8699,0.5738,0.4045,0.7117,0.3623
Flickering,24,0.8969,0.5371,0.3342,0.836,0.1666
Flickering,25,0.9118,0.5096,0.1078,0.7526,0.1905
Flickering,26,0.9233,0.3982,0.1261,0.8686,0.1603
Flickering,27,0.9271,0.3684,0.0314,0.9642,0.0856
Flickering,28,0.933,0.4755,0.1368,0.9391,0.1805
Flickering,29,0.9503,0.3513,0.3314,0.9633,0.446
Flickering,30,0.9609,0.2258,0.2749,0.9921,0.2698
Flickering,31,0.9662,0.502,0.2707,1.0,0.1887
Flickering,32,0.9716,0.4915,0.2431,0.949,0.323
Flickering,33,0.9744,0.541,0.264,1.0,0.1733
Flickering,34,0.9769,0.4544,0.3034,0.9462,0.1741
Flickering,35,0.9788,0.611,0.3843,0.8576,0.1606
Flickering,36,0.9797,0.7243,0.2854,0.8511,0.1864
Flickering,37,0.981,0.7385,0.39,0.8205,0.1601
Flickering,38,0.9822,0.5618,0.2943,0.7334,0.2036
Flickering,39,0.9834,0.4788,0.3021,0.6112,0.2083
Flickering,40,0.9847,0.6001,0.3737,0.559,0.1841
Flickering,41,0.986,0.773,0.3967,0.7039,0.1731
Flickering,42,0.9866,0.7857,0.3038,0.8674,0.1464
Flickering,43,0.9871,0.8866,0.2379,0.9027,0.1898
Flickering,44,0.9874,0.7965,0.1996,0.975,0.1696
Flickering,45,0.9876,0.7596,0.1974,0.9019,0.1822
Flickering,46,0.9873,0.7462,0.2839,1.0,0.0
Flickering,47,0.9872,0.7749,0.3131,0.8797,0.0774
Flickering,48,0.9871,0.6142,0.2168,0.7763,0.136
Flickering,49,0.9869,0.7118,0.2608,0.6956,0.0824
Flickering,50,0.9866,0.8309,0.2943,0.713,0.0595
Flickering,51,0.9871,0.6979,0.3161,0.6947,0.1537
Flickering,52,0.9877,0.5652,0.4121,0.6205,0.0659
Flickering,53,0.9888,0.6141,0.4178,0.6719,0.1886
Flickering,54,0.9894,0.5605,0.4498,0.6643,0.0199
Flickering,55,0.99,0.3521,0.4554,0.7594,0.0
Flickering,56,0.9902,0.4765,0.3601,0.7591,0.0
Flickering,57,0.9905,0.5202,0.3596,0.7355,0.0408
Flickering,58,0.991,0.4975,0.4317,0.7493,0.031
Flickering,59,0.9912,0.7238,0.3792,0.7373,0.0692
Flickering,60,0.9913,0.7289,0.3331,0.6879,0.0586
Flickering,61,0.9913,0.6486,0.2432,0.6669,0.0884
Flickering,62,0.9909,0.6614,0.1004,0.7401,0.0581
Flickering,63,0.9906,0.5641,0.0887,0.7942,0.0705
Flickering,64,0.9905,0.5077,0.0562,0.8907,0.1131
Flickering,65,0.9908,0.5687,0.1157,0.7373,0.2247
Flickering,66,0.9905,0.5314,0.0213,0.7097,0.1013
Flickering,67,0.9904,0.5094,0.1551,0.6845,0.0513
Flickering,68,0.9903,0.6917,0.1834,0.7094,0.075
Flickering,69,0.9902,0.77,0.1691,0.6812,0.1044
Flickering,70,0.9898,0.8311,0.1229,0.6525,0.0976
Flickering,71,0.9892,0.8571,0.0779,0.6692,0.0649
Flickering,72,0.9886,0.8749,0.0144,0.749,0.1063
Flickering,73,0.9883,0.9823,0.0036,0.6585,0.2436
Flickering,74,0.988,0.9336,0.035,0.5651,0.2136
Flickering,75,0.9881,1.0,0.0482,0.855,0.2218
Flickering,76,0.9893,0.9198,0.0,0.7954,0.5249
Flickering,77,0.989,0.8581,0.0,0.8558,0.0836
Flickering,78,0.9886,0.6992,0.0,0.7833,0.1001
Flickering,79,0.9881,0.6622,0.0031,0.8688,0.0703
Flickering,80,0.9886,0.414,0.1717,0.8353,0.1552
Flickering,81,0.9897,0.6743,0.4474,0.7605,0.1411
Flickering,82,0.9896,0.7548,0.1984,0.6811,0.1014
Flickering,83,0.9893,0.7426,0.0803,0.6748,0.0972
Flickering,84,0.9888,0.6976,0.0,0.7028,0.1139
Flickering,85,0.9882,0.6235,0.0,0.7252,0.0898
Flickering,86,0.9879,0.5177,0.0028,0.7332,0.0961
Flickering,87,0.9871,0.5463,0.0,0.6933,0.0328
Flickering,88,0.9862,0.4006,0.0169,0.414,0.0385
Flickering,89,0.9857,0.4515,0.0,0.4732,0.0961
Flickering,90,0.9861,0.3792,0.0382,0.3664,0.2079
Flickering,91,0.9875,0.4514,0.1674,0.4447,0.2365
Flickering,92,0.9887,0.3884,0.1233,0.3122,0.2378
Flickering,93,0.9908,0.2994,0.1111,0.6298,0.3922
Flickering,94,0.9919,0.5324,0.0665,0.6186,0.3201
Flickering,95,0.9932,0.4258,0.1525,0.6256,0.3823
Flickering,96,0.994,0.5737,0.0855,0.3875,0.4045
Flickering,97,0.9945,0.676,0.0206,0.6105,0.3601
Flickering,98,0.9949,0.6406,0.0,0.5868,0.3422
Flickering,99,0.9954,0.5353,0.2058,0.5398,0.3228
Flickering,100,0.9959,0.6543,0.2628,0.6667,0.3128
Flickering,101,0.9962,0.8207,0.1922,0.6429,0.2989
Flickering,102,0.9963,0.7095,0.1686,0.7671,0.2354
Flickering,103,0.9963,0.6753,0.2049,0.7463,0.1117
Flickering,104,0.9963,0.7742,0.2242,0.7541,0.0821
Flickering,105,0.996,0.7904,0.1408,0.7415,0.0
Flickering,106,0.9958,0.962,0.1308,0.7808,0.0138
Flickering,107,0.9955,0.8641,0.1255,0.843,0.0345
Flickering,108,0.9952,0.8864,0.0,1.0,0.0
Flickering,109,0.9951,0.7037,0.248,0.7828,0.0278
Flickering,110,0.9948,0.9533,0.1017,0.7178,0.0918
Flickering,111,0.9947,0.8169,0.1461,0.8552,0.1055
Flickering,112,0.9949,0.5855,0.1801,0.8188,0.2001
Flickering,113,0.9953,0.5862,0.1419,0.787,0.2911
Flickering,114,0.9955,0.5856,0.1631,0.7209,0.2064
Flickering,115,0.9958,0.7799,0.2349,0.9639,0.2526
Flickering,116,0.9961,0.7313,0.2424,0.9755,0.2881
Flickering,117,0.9964,0.7054,0.2683,0.9116,0.2659
Flickering,118,0.9967,0.7695,0.3107,1.0,0.2977
Flickering,119,0.9967,0.905,0.1457,1.0,0.2377
